Gene	CUI
b0208	0.0202076468179
b1498	0.0202085734794
b0129	0.0202145175618
b1497	0.0202146684454
b1558	0.0202148424036
b4412	0.0202158009605
b0245	0.0202165574342
b1559	0.0202184852244
b2510	0.0202204541171
b3494	0.0202230734137
b3118	0.0202283728401
b1553	0.0202307072923
b4313	0.0202345800553
b3144	0.0202387211418
b4150	0.0202579083999
b3033	0.0202619645735
b3630	0.0202695043211
b0227	0.020274768503
b4310	0.0202784249545
b1020	0.0202878412425
b2109	0.0202970258141
b0290	0.0202990700646
b0459	0.0202992383579
b0624	0.0202997378844
b4248	0.0203006747538
b0942	0.020304181482
b1041	0.0203133195034
b4215	0.020315642085
b2671	0.020316411125
b0317	0.0203168211445
b1278	0.0203198886092
b1328	0.020322193207
b2896	0.0203233954277
b3680	0.0203265089878
b3754	0.0203334231585
b3104	0.0203356856049
b0707	0.0203384714316
b2734	0.0203409606001
b0217	0.0203410175957
b1643	0.020344582355
b1674	0.0203489464698
b4554	0.020355946395
b2295	0.0203563246823
b1029	0.0203572437135
b0360	0.0203611637188
b1403	0.0203611637188
b1997	0.0203611637188
b2861	0.0203611637188
b3044	0.0203611637188
b4272	0.0203611637188
b1507	0.0203611740449
b0533	0.0203650887432
b1047	0.0203662437909
b1374	0.020366460562
b1038	0.0203691891963
b0900	0.0203692510727
b4703	0.0203694527369
b4539	0.0203727699272
b0254	0.0203728105227
b0461	0.0203785606148
b2619	0.0203791788654
b2865	0.0203820482814
b3059	0.0203862473311
b0768	0.0203873907235
b1162	0.0203882310445
b0140	0.0203895494359
b1843	0.0203926061118
b0846	0.0203946296461
b4331	0.0203981397752
b3632	0.0203991038748
b2368	0.0204013975502
b3625	0.0204019945719
b1868	0.0204025632629
b1545	0.020403199192
b4527	0.0204088472085
b3631	0.0204101058127
b1560	0.0204165251613
b1689	0.0204171336748
b4676	0.0204183370615
b3322	0.0204258449715
b3693	0.0204282079848
b1196	0.0204295984565
b1724	0.0204324421124
b0435	0.0204352733126
b1722	0.02043577608
b2742	0.0204364810158
b3330	0.0204394104248
b4565	0.0204491027027
b2801	0.020449150581
b3282	0.0204508494734
b1728	0.0204511256858
b4484	0.0204512345382
b1166	0.0204513093471
b2104	0.0204525404438
b1163	0.0204560381664
b2405	0.0204572189325
b2845	0.0204589959387
b1422	0.0204631023992
b1058	0.0204767813536
b1615	0.0204799114524
b4526	0.0204804185319
b1921	0.0204811062884
b1205	0.0204855828544
b1976	0.0204858166496
b4357	0.0204866477163
b3143	0.0204889710962
b1669	0.0204909640616
b0363	0.020494311923
b0629	0.0204966352031
b0076	0.0204966941551
b4410	0.0204986786078
b1551	0.0204998283562
b1057	0.0205002247518
b1557	0.0205045264099
b3014	0.0205062462362
b1857	0.0205090469897
b3704	0.0205133023353
b4178	0.0205144388612
b2163	0.0205174978982
b2175	0.0205189875812
b1060	0.0205207380722
b1501	0.0205258293875
b1978	0.0205275449283
b2448	0.0205320523975
b3335	0.0205328574521
b1696	0.020535337927
b2593	0.020537475108
b1535	0.0205428419565
b2912	0.0205431595579
b4523	0.0205433061744
b1690	0.0205440376607
b3628	0.0205448361332
b4217	0.0205464431544
b0880	0.0205488844167
b1791	0.0205526574788
b2259	0.0205563861887
b0035	0.0205582166897
b2447	0.0205605536127
b0101	0.0205679885931
b0557	0.0205800092863
b3393	0.0205815680683
b0623	0.0205817976203
b0798	0.0205831939491
b1384	0.02058407159
b1053	0.0205864583536
b0097	0.0205867523076
b1462	0.0205950856756
b3292	0.0205975039955
b1473	0.0205998831105
b1670	0.0206001728723
b2577	0.0206056839509
b3875	0.0206060841629
b0992	0.0206064922035
b0384	0.020606512639
b1414	0.0206086926235
b0527	0.0206088266523
